,Comment,Climate
0,"Jeg er glad for tilsagnet om, at vores beslutningsforslag kan indgå i udvalgets arbejde, men der er jo en kæmpestor mangel i det her kommissorium for Skovpolitisk Udvalg, og det er vedrørende hele biodiversiteten. Altså, halvdelen af de truede arter, der findes i Danmark, hører til i de danske skove – halvdelen af de truede arter. Vi er på hælene, og vi er bagud som land i forhold til at passe på arter, som er ved at uddø. Hvorfor er det ikke med her? Kunne Venstre ikke være med til, at vi fik ændret det her kommissorium, så man fik kigget på biodiversiteten? Biodiversitet er jo et meget vigtigt element i beslutningsforslaget, så kunne Venstre støtte, at vi laver en beretning i udvalget om at pålægge ministeren, at kommissoriet skal indeholde biodiversitet? ",0
1,"Jeg kan kun støtte mig til det, ministeren nu har gentaget to gange – det plejer man, når man gentager, men har sagt to gange. Ministeren har den opfattelse, at biodiversitet selvfølgelig er en del af det kommissorium, og at det helt naturligt er en del af det arbejdsprogram, som det udvalg skal tage op. Jeg beklager, men jeg er faktisk enig i, at det jo også ligger i hele den indstilling her og i kommissoriet. Og man kan vel ikke sige andet, end at – ja... Nej. Jeg vil sige, at jeg simpelt hen mener, at det er dækket af det her, og det har jeg heldigvis ministerens ord for. ",0
2,"Kunne man så ikke spørge Venstres ordfører, hvis det er helt naturligt, at biodiversitet skal være en del af det her kommissorium? Ville det så ikke være en meget god idé lige at specificere det, altså lige præcisere, at biodiversitet selvfølgelig spiller en afgørende rolle for det her kommissoriums arbejde. Jeg har i hvert fald været glad for, at det er blevet sagt så tydeligt fra talerstolen i dag, at det er Venstres holdning, men kunne vi så ikke få det ord ind i kommissoriet, altså at biodiversitet selvfølgelig skal være en vigtig del, når nu over halvdelen af de truede arter er i skovene i Danmark? ",1
3,"Jeg kan sagtens forstå interessen. Jeg har selv personligt en stor interesse netop for det, som bliver nævnt her, nemlig at lade træerne stå og falde på den måde, at der kan være så meget liv i det hele som muligt. Så jeg forstår alt om, hvad der bliver sagt her. Men at det skulle udelukke, at udvalget skulle tage det op, fordi der ikke lige står ordet biodiversitet her, forstår jeg simpelt hen ikke, for jeg synes, at det er en helt naturlig ting for et udvalg, der skal arbejde med en fremadrettet skovpolitik, at man tager emnet med, og det har jeg også ministerens udtalelse for sker. ",0
4,"Vi kan godt blive enige om, at sådan et udvalg her skal løse mange opgaver på en gang. Nu vil jeg bare spørge Dansk Folkeparti: Er en af de opgaver – og er det en af Dansk Folkepartis prioriteter i de her kommende forhandlinger, som jeg kan høre at Dansk Folkeparti også ønsker – at de mange, mange dyr og planter, som er under et enormt hårdt pres, og hvoraf over halvdelen findes i vores skove, bliver en del af det her skovpolitiske arbejde? Ja eller nej? Er biodiversitet en af de ting, som Dansk Folkeparti vil arbejde for? ",0
5,"Tak for ordet. Jeg synes, det er interessant at høre, at der bliver talt om bagklogskab og arbejdet i Selvstyrekommissionen; ordføreren siger, at man måske godt kunne have fået emnet her ind i arbejdet i Selvstyrekommissionen i forbindelse med selvstyrets indførelse. Mener ordføreren ikke, at når aftalen nu er i hus i december, skal man sige, at nu skal forhandlingerne måske gøres færdige, fordi der er et stort behov for øget udledning for at skabe industriel vækst i Grønland? Og mener ordføreren ikke, at der er et behov for at lave en aftale inden COP15 rigsfællesskabets tre lande imellem? ",0
6,"Til det første vil jeg sige, at det er glædeligt, at også Det Radikale Venstre synes, det er lidt tåbeligt at pålægge danske virksomheder en så stor afgift, at de flytter til udlandet, for igen: Klimaforureningen er jo ikke kun lige et lokalt problem, den er et globalt problem, og specielt når vi taler luftforurening, har det det jo med at flytte sig. Som fru Margrethe Vestager sikkert ved, er der senere i dag et dagsordenspunkt om IRENA, som jo netop er en international organisation, der skal tage vare på samarbejdet om at fremme vedvarende energi i landene globalt set. Med hensyn til det sidste, altså hvad vi egentlig kunne forestille os i forbindelse med det pågældende sekretariat, synes jeg, vi skal afvente, hvad vi får af yderligere information fra energiministeren. ",0
7,"Tak. Vi kan helt tilslutte os det her forslag. Det er rigtig fornuftigt, at vi går med i IRENA, agenturet for vedvarende energi. Formålet med IRENA er at fremme vedvarende energi på et globalt niveau og plan, og det er et samarbejde mellem indtil nu 137 lande. Det er et godt forslag, som Venstre kan bakke et hundrede procent op om. Også i forhold til, at Danmark jo i forvejen er foregangsland med hensyn til vedvarende energi, ligger det helt i tråd med det, og udbredelsen af vedvarende energi til den øvrige verden er jo en dansk interesse, både for os som politikere og for industrien. ",1
8,"Tak, formand. Også vi kan tilslutte os at få ratificeret statutten for IRENA, Det Internationale Agentur for Vedvarende Energi. Når vi globalt står både med en klimakrise og en økonomisk krise, må man sige, at det jo grundlæggende er karakteriseret af, at intet land i verden er stærkt nok eller rigt nok eller har penge nok til at kunne håndtere den opgave selv. Netop derfor er institutioner også internationalt vigtige og særlig, når det gælder om at fremme vedvarende energi; det er jo helt afgørende for netop at tackle klimaudfordringen. ",1
9,"Tak for det, formand. Det er med stor glæde, at vi fra konservativ side også kan give samtykke til regeringen til, at Danmark ratificerer IRENA. Vi synes, det er et rigtig godt initiativ, og vi synes, at det er utrolig positivt, at Danmark jo allerede i forbindelse med etableringen af IRENA har spillet så progressiv og konstruktiv en rolle. Det er selvfølgelig også vores håb, at Danmark fortsat i det videre arbejde i IRENA vil indtræde i en position, hvor man netop sikrer, at vedvarende energi bliver noget, som er interessant for alle nationer. Det er kun godt for Danmark, fordi vi har førerpositionen på det her felt i forvejen. Tak. ",0
10,"Nu forholder jeg mig til lovforslaget. Det kan jeg forstå at skatteministeren synes er interessant ikke at gøre. Men jeg har så fået en klar beskrivelse nu af regeringens prioritering. Det ville være bedre at gøre det, som jeg har argumenteret for, og som Det Jordbrugsvidenskabelige Fakultet ved Aarhus Universitet siger. Det ville være bedre klimamæssigt, det sagde ministeren selv. Det er fair nok, og det er godt, at man er ærlig, når man udtaler sig her. Det, som regeringen så vælger, er at satse på, at man får en CO 2 -reduktion ved at fjerne natur. Det er jo bræmmerne, man skal have lov til at tilplante. Det vil sige, at det er biodiversiteten, der betaler prisen, kan man sige. Og man får mindre CO 2 -reduktion, end hvis man havde valgt at gå væk fra korn. ",0
11,"Det er til ministerens bemærkning om forslagets effekt på biodiversiteten. Jeg forstod ministeren sådan, at det her vil fremme biodiversiteten, og derfor vil jeg tillade mig at læse op fra bemærkningerne i ministerens eget forslag: »Hvis der er tale om tilplantning med flerårige energiafgrøder på tidligere ekstensivt drevne arealer eller naturarealer, vil virkningen for biodiversiteten samlet set være overvejende negativ, idet sådanne områder generelt indeholder større biodiversitet end arealer med flerårige energiafgrødekulturer eller andre monokulturer.« Så bemærkningen om, at det skulle fremme biodiversiteten, er ikke korrekt. ",0
12,"Jamen det er jeg da ked af at man ikke kan se. Det, jeg kan se, er en ret offensiv plan omkring en erhvervsklimastrategi, som i øvrigt så bliver fulgt op af en række yderligere initiativer over den kommende sæson. Mest ambitiøst er jo et strategisk udspil til, hvordan vi, oven på Klimakommissionen, får lagt en kurs, der bringer os helt fri af de fossile brændstoffer, hvilket jo nødvendiggør, at vi satser på andre vedvarende energiformer end dem, vi primært satser på nu, blandt andet vind. Så regeringen er jo parat med en stribe initiativer, og der er sådan set også lagt en tidsfølgeplan for, hvordan det rulles ud her cirka over det næste års tid. ",1
13,"Som jeg allerede har redegjort for, har vi en samlet overordnet ramme for kvælstofudledningen, som vi holder fast i. Med hensyn til tallene for pesticidforbruget må jeg beklage og sige, at dem har jeg ikke med mig, for lige nu behandler vi et helt andet lovforslag, nemlig gødningsloven, og derfor har jeg ikke de aktuelle tal med mig. Jeg kan selvfølgelig senere skriftligt oversende dem til Fødevareudvalget, hvis der er interesse for det. Men det, der jo er vigtigt, er, at vi holder fast i måltallet for pesticidforbruget. Vi laver så nu en ny beregning, så det bliver en mere reel beregning, og samtidig laver vi incitamenter til at få pesticidforbruget yderligere ned i Danmark set i forhold til, hvad det er i dag. ",0
